title,isbn,price_eur,shop_link,google_search_link,shop,date_scraped
Денискины рассказы,9785389172807,12.11,https://notrelocus.com/products/денискины-рассказы-1,https://www.google.com/search?q=9785389172807,notre_locus,2026-03-29
В Стране невыученных уроков,9785389123434,12.1,https://notrelocus.com/products/в-стране-невыученных-уроков,https://www.google.com/search?q=9785389123434,notre_locus,2026-03-29
Тимур и его команда,9785389116689,12.1,https://notrelocus.com/products/тимур-и-его-команда,https://www.google.com/search?q=9785389116689,notre_locus,2026-03-29
Электроник - мальчик из чемодана,9785389154704,12.1,https://notrelocus.com/products/электроник-мальчик-из-чемодана-фантастическая-повесть,https://www.google.com/search?q=9785389154704,notre_locus,2026-03-29
Путешествие Алисы: фантастическая повесть,9785389244283,12.1,https://notrelocus.com/products/путешествие-алисы-фантастическая-повесть,https://www.google.com/search?q=9785389244283,notre_locus,2026-03-29
Знаменитый утёнок Тим,9785389215122,12.1,https://notrelocus.com/products/знаменитый-утёнок-тим,https://www.google.com/search?q=9785389215122,notre_locus,2026-03-29
Маленький лорд Фаунтлерой,9785389172883,12.1,https://notrelocus.com/products/маленький-лорд-фаунтлерой,https://www.google.com/search?q=9785389172883,notre_locus,2026-03-29
"Маленькая принцесса, или История Сары Кру",9785389238886,12.1,https://notrelocus.com/products/маленькая-принцесса-или-история-сары-кру,https://www.google.com/search?q=9785389238886,notre_locus,2026-03-29
Питер Пэн. Сказочная повесть,9785389174566,12.11,https://notrelocus.com/products/питер-пэн-сказочная-повесть,https://www.google.com/search?q=9785389174566,notre_locus,2026-03-29
Изюмка и гном,9785389163508,12.11,https://notrelocus.com/products/изюмка-и-гном,https://www.google.com/search?q=9785389163508,notre_locus,2026-03-29
Малахитовая шкатулка. Сказы,9785389247598,12.1,https://notrelocus.com/products/малахитовая-шкатулка-сказы,https://www.google.com/search?q=9785389247598,notre_locus,2026-03-29
Мой брат играет на кларнете,9785389199491,12.1,https://notrelocus.com/products/мой-брат-играет-на-кларнете,https://www.google.com/search?q=9785389199491,notre_locus,2026-03-29
"Коля пишет Оле, Оля пишет Коле. Повесть",9785389207721,12.1,https://notrelocus.com/products/коля-пишет-оле-оля-пишет-коле-повесть,https://www.google.com/search?q=9785389207721,notre_locus,2026-03-29
"Папа, мама, бабушка, восемь детей и грузовик",9785389119253,15.18,https://notrelocus.com/products/папа-мама-бабушка-восемь-детей-и-грузовик,https://www.google.com/search?q=9785389119253,notre_locus,2026-03-29
Сказки на ночь. Сказки для малышей,9785389133266,17.53,https://notrelocus.com/products/сказки-на-ночь,https://www.google.com/search?q=9785389133266,notre_locus,2026-03-29
Сказки ко дню рождения. Веселые истории для малышей,9785389180864,13.15,https://notrelocus.com/products/сказки-ко-дню-рождения-веселые-истории-для-малышей,https://www.google.com/search?q=9785389180864,notre_locus,2026-03-29
Сказка о трех медведях,9785389180871,12.11,https://notrelocus.com/products/сказка-о-трех-медведях,https://www.google.com/search?q=9785389180871,notre_locus,2026-03-29
Всё о малыше Николя: Рассказы,9785389041806,16.18,https://notrelocus.com/products/всё-о-малыше-николя-рассказы,https://www.google.com/search?q=9785389041806,notre_locus,2026-03-29
Терем-теремок. Сказки для малышей,9785389177697,17.53,https://notrelocus.com/products/терем-теремок,https://www.google.com/search?q=9785389177697,notre_locus,2026-03-29
Лиса и медведь. Сказки для малышей,9785389177680,13.16,https://notrelocus.com/products/лиса-и-медведь,https://www.google.com/search?q=9785389177680,notre_locus,2026-03-29
Волшебные сказки на ночь,9785389162457,30.36,https://notrelocus.com/products/волшебные-сказки-на-ночь,https://www.google.com/search?q=9785389162457,notre_locus,2026-03-29
Волшебные сказки круглый год,9785389179851,17.2,https://notrelocus.com/products/волшебные-сказки-круглый-год,https://www.google.com/search?q=9785389179851,notre_locus,2026-03-29
Фантазёры,9785389137370,20.23,https://notrelocus.com/products/фантазёры,https://www.google.com/search?q=9785389137370,notre_locus,2026-03-29
Николай Носов. Все рассказы (юбилейное издание),9785389148314,40.46,https://notrelocus.com/products/все-рассказы-юбилейное-издание,https://www.google.com/search?q=9785389148314,notre_locus,2026-03-29
Мост в Терабитию: роман,9785389150072,20.23,https://notrelocus.com/products/мост-в-терабитию-роман,https://www.google.com/search?q=9785389150072,notre_locus,2026-03-29
Ведьмина служба доставки. Книга 1 : сборник рассказов,9785389135109,15.18,https://notrelocus.com/products/ведьмина-служба-доставки-книга-1-сборник-рассказов,https://www.google.com/search?q=9785389135109,notre_locus,2026-03-29
Спайдервик. Хроники,9785389148963,16.18,https://notrelocus.com/products/спайдервик-хроники,https://www.google.com/search?q=9785389148963,notre_locus,2026-03-29
"Тутта Карлссон, Первая и единственная, Людвиг Четырнадцатый и другие",9785389133280,14.15,https://notrelocus.com/products/тутта-карлссон-первая-и-единственная-людвиг-четырнадцатый-и-другие,https://www.google.com/search?q=9785389133280,notre_locus,2026-03-29
"Золотой ключик, или Приключения Буратино (цв. илл. Каневского)",9785389202139,15.18,https://notrelocus.com/products/золотой-ключик-или-приключения-буратино-цв-илл-каневского,https://www.google.com/search?q=9785389202139,notre_locus,2026-03-29
Приключения Незнайки и его друзей (илл. Челака),9785389149366,23.27,https://notrelocus.com/products/приключения-незнайки-и-его-друзей-илл-челака,https://www.google.com/search?q=9785389149366,notre_locus,2026-03-29
Незнайка на Луне,9785389170537,36.42,https://notrelocus.com/products/незнайка-на-луне,https://www.google.com/search?q=9785389170537,notre_locus,2026-03-29
Незнайка в Солнечном городе (илл. Челака),9785389149359,23.27,https://notrelocus.com/products/незнайка-в-солнечном-городе-илл-челака,https://www.google.com/search?q=9785389149359,notre_locus,2026-03-29
Дневник Коли Синицына,9785389185296,16.18,https://notrelocus.com/products/дневник-коли-синицына,https://www.google.com/search?q=9785389185296,notre_locus,2026-03-29
