Book Name;ISBN;Price (EUR);Original Price;Original Currency;Available
Турецкие войны России. Царская армия и балканские народы в XIX столетии;N/A;38,54;140,00;ILS;No
Альманах Гурманов;N/A;34,41;125,00;ILS;No
История жены;N/A;34,41;125,00;ILS;No
Новый курс. Разговоры с самим собой;N/A;26,15;95,00;ILS;Yes
Это было навсегда, пока не кончилось;N/A;35,78;130,00;ILS;No
Вопль. Кадиш. Стихотворения 1952–1960;N/A;61,93;225,00;ILS;Yes
Семигранник;N/A;26,15;95,00;ILS;Yes
Ренат и Дракон;N/A;19,27;70,00;ILS;No
«Лето в Бадене» и другие сочинения.;N/A;31,66;115,00;ILS;Yes
Пространственное воплощение культуры. Этнография пространства и места;N/A;31,66;115,00;ILS;No
Воображая город. Введение в теорию концептуализации;N/A;30,28;110,00;ILS;No
Синий. История цвета;N/A;23,40;85,00;ILS;No
Алексей Хвостенко и Анри Волохонский. Тексты и контексты;N/A;39,91;145,00;ILS;No
Стать Теодором;N/A;30,28;110,00;ILS;Yes
От Рафаэля до Кавалера д’ Арпино. Устройство римских живописных мастерских XVI века;N/A;34,41;125,00;ILS;No
Неудобное прошлое. Память о государственных преступлениях в России и других странах;N/A;35,78;130,00;ILS;No
Люди из Бильбао рождаются где захотят;N/A;22,02;80,00;ILS;No
Йога Таун;N/A;26,15;95,00;ILS;Yes
Дьявольская материя. История полосок и полосатых тканей;N/A;23,40;85,00;ILS;No
